Spolka;Sektor;Kurs zamkniecia;Rating;ZScore;Free Float;Potencjal zm. wg sredniej;Wartosc ksiegowa;Wartosc skorygowanych aktywow netto;Wartosc likwidacyjna wg J.Wilcoxa;Wartosc renty wieczystej;Wartosc zyskow dodatkowych;Wartosc metoda berlinska;Wartosc metoda szwajcarska;wg Ceny do wartości ksiegowej;wg Ceny do zysku operacyjnego;wg Ceny do przychodow;wg Wskaznika EV/EBIT;wg Wskaznika EV/Przychody;Wyliczona srednia;Stopa dywidendy za okres;Stopa dywidendy
SNIEZKA;Mat. budowlanych;56;AAA                      ;8,48;23,7319280779865;-35%;16,37;16,26;6,34;38,5;29,12;27,44;31,12;15,33;60,98;22,92;81,86;26,86;36,12;2014-01-01 - 2014-12-31;6,14%
SOHODEV;Deweloperzy;1,23;BBB                      ;6,06;33,6542635582324;+59%;2,84;2,83;1,06;1,79;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,98;1,39;2,88;1,58;3,9;1,95; - ;brak
SOPHARMA;Farmaceutyczny;6,01;A-                       ;6,6;37,1624921391018;-21%;7,31;6,75;2,14;2,9;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;15,47;11,11;23,32;6,86;19,28;4,72; - ;brak
STALEXP;Inne;3,16;B                        ;4,44;39,3665629759892;+38%;1,71;-0,4;-0,68;4,8;4,49;3,26;3,77;4;7,76;2,95;7,91;2,05;4,37; - ;brak
STALPROD;Metalowy;257,8;AA-                      ;7,24;32,2642081784387;+50%;318,04;297,98;119,67;340,1;398,05;329,07;332,75;378,87;440,46;314,2;603,23;385,21;387,79;2014-01-01 - 2014-12-31;0,62%
SYGNITY;Informatyka;8,45;BB                       ;5,2;67,6117733426595;+44%;19,11;2,3;5,23;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;70,94;3,89;97,13;4,25;111,83;12,17;2006-01-01 - 2006-12-31;1,18%
SYNEKTIK;Farmaceutyczny;15,49;BB-                      ;4,82;31,5028416148941;-71%;6,64;4,14;2,22;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;14,05;Wycena niemozliwa;16,84;0,33;17,91;4,43; - ;brak
TERESA;Farmaceutyczny;15,36;AAA                      ;11,49;0;-10%;6,93;6,83;3,57;9,9;9,42;8,41;8,91;14,67;28,31;13,58;27;13,57;13,81;2014-01-01 - 2014-12-31;7,40%
TRITON;Deweloperzy;1,97;AAA                      ;10,07;29,9359119292993;> +250%;14,15;14,15;7,62;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,86;Wycena niemozliwa;19,17;Wycena niemozliwa;25,61;10,88; - ;brak
UNIMA;Informatyka;2,42;BBB+                     ;6,33;40,9691464083349;+64%;5,67;3,49;2,28;0,4;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;21,03;2,38;33;2,84;38,28;3,98;2014-01-01 - 2014-12-31;7,42%
VOTUM;Inne;14,01;AA+                      ;8,09;21,5994583333333;-29%;2,4;2,02;0,95;5,67;4,65;4,04;4,58;5,61;17,66;21,48;18,69;15,61;9,92;2015-01-01 - 2015-12-31;1,94%
WASKO;Informatyka;2,13;AAA                      ;8,78;18,7534991089788;+165%;2,42;1,87;1,31;2,9;2,89;2,66;2,74;9;4;13,47;4,89;16,17;5,63;2014-01-01 - 2014-12-31;1,91%
WDX;Handel hurtowy;5,94;BB                       ;4,97;26,4806758061615;-3%;5,01;4,56;0,96;5,21;5,69;5,11;5,15;4,85;4,74;4,24;6,11;5,05;5,76;2014-01-01 - 2014-12-31;4,93%
WIELTON;Motoryzacyjny;7,56;BBB-                     ;5,83;31,913048447205;-12%;3,58;3,13;0,3;5,6;6,81;4,59;4,93;8,26;8,99;11,28;7,18;9,35;6,68;2014-01-01 - 2014-12-31;3,22%
WISTIL;Lekki;43,7;A                        ;6,78;9,9636;+229%;105,27;101,07;26,29;104,7;115,26;Wycena niemozliwa;Wycena niemozliwa;181,61;112,13;203,9;130,65;216,77;143,78;2003-01-01 - 2003-12-31;1,70%
ZAMET;Elektromasz.;1,68;A-                       ;6,46;30,9637131797583;-47%;1,32;1,3;0,45;1,27;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,99;1,61;1,68;1,67;1,86;0,88;2012-01-01 - 2012-12-31;15,73%
ZASTAL;Inne;0,59;XXX;4,67;100;+111%;2,44;2,44;0,05;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;5,72;Wycena niemozliwa;4,54;Wycena niemozliwa;3,03;1,24; - ;brak
ZYWIEC;Spożywczy;420;D                        ;1,57;1,64784779235654;-61%;25,5;19,88;-57,87;290,3;125,91;157,9;202,03;50,93;203,66;193,54;205,5;214,2;163,47;2015-01-01 - 2015-12-31;2,93%
(c) StockWatch.pl - tylko do uzytku osobistego, licencja nie zezwala na rozpowszechnianie. Powyzsze informacje nie sa rekomendacja inwestycyjna
